,hour,day_of_week,casualties,accident_cause,vehicles_involved,vehicle_type,driver_age,accident_area,driving_experience,lanes
348,6,0,1,10,2,7,4,0,2,2
349,0,3,2,13,1,0,2,5,2,4
350,7,5,1,1,1,15,0,8,4,2
351,15,2,3,3,2,5,0,4,1,4
352,13,1,0,1,0,0,0,4,1,6
353,17,0,1,10,1,0,1,8,0,4
354,10,4,0,0,1,14,1,6,2,2
355,12,1,0,1,1,0,1,8,2,0
356,4,2,1,0,1,7,0,5,4,1
357,19,1,0,13,1,9,0,5,0,0
358,17,1,0,5,1,5,0,5,3,6
359,8,1,1,1,1,0,1,4,0,6
360,20,4,1,3,3,5,0,4,2,1
361,8,4,1,7,1,15,0,0,0,2
362,13,5,1,5,3,9,4,4,3,0
363,13,1,0,12,0,5,2,8,2,6
364,12,5,0,11,1,10,2,7,2,6
365,15,5,0,11,1,5,1,0,1,6
366,17,0,2,4,1,0,1,5,2,6
367,21,2,1,16,1,0,0,5,1,2
368,21,2,0,1,0,0,3,4,2,0
369,17,6,0,12,1,0,0,8,0,2
370,16,5,0,18,0,9,0,7,1,6
371,20,4,0,5,0,6,0,4,3,4
372,11,0,1,10,1,0,2,11,3,0
373,10,6,1,5,2,0,0,4,2,4
374,22,3,0,1,1,4,0,0,0,0
375,18,0,3,9,1,7,1,8,1,2
376,14,3,0,1,0,5,0,6,0,4
377,12,1,1,12,1,9,0,4,2,0
378,10,1,1,10,1,0,1,4,4,4
379,11,2,1,10,0,0,4,4,2,4
380,23,6,0,12,1,4,1,5,0,1
381,12,1,0,1,0,10,2,4,1,2
382,12,2,0,0,0,7,0,5,2,2
383,15,2,0,0,1,5,4,0,2,2
384,4,2,1,10,1,5,0,4,2,4
385,17,0,0,1,1,9,1,5,2,4
386,7,0,1,11,1,5,0,8,3,2
387,17,5,0,3,2,7,4,5,1,1
388,16,2,1,10,2,4,4,0,1,2
389,21,2,1,9,1,4,0,0,1,4
390,17,3,1,1,0,0,2,5,1,6
391,13,3,0,12,1,6,0,8,0,4
392,8,5,0,7,1,5,3,5,1,1
393,15,2,1,10,1,7,1,4,2,4
394,15,5,0,10,0,15,1,5,3,2
395,18,4,0,9,1,5,0,5,2,4
396,18,1,2,13,2,5,3,5,2,2
397,19,5,0,1,0,0,4,5,4,2
398,12,1,0,10,1,0,4,4,2,2
399,9,2,0,12,2,3,1,8,2,4
400,14,2,2,13,3,16,0,8,2,6
401,9,3,0,18,1,5,1,5,2,4
402,20,3,1,10,0,4,4,5,0,1
403,16,4,0,12,0,13,4,4,3,4
404,21,4,0,1,1,9,1,4,0,2
405,18,6,2,3,1,0,0,5,3,1
406,7,6,1,1,2,5,0,4,3,2
407,10,2,3,9,1,7,1,8,0,4
408,9,3,0,3,1,0,2,6,2,2
409,10,4,0,10,1,5,3,5,4,4
410,8,4,0,16,1,10,0,7,3,2
411,9,5,3,4,0,7,4,5,2,4
412,17,3,2,3,1,7,1,8,2,4
413,17,6,0,10,1,5,2,0,2,6
414,23,4,3,9,1,7,0,2,2,1
415,15,4,1,11,1,0,2,0,0,6
416,13,5,0,10,1,5,0,5,1,2
417,8,5,0,9,1,5,0,4,2,2
418,15,5,0,11,1,0,0,8,1,4
419,17,1,0,1,1,4,4,0,3,4
420,12,5,0,1,1,0,0,5,3,2
421,9,6,1,10,1,0,1,7,2,6
422,8,1,0,1,1,5,1,5,1,1
423,7,0,0,3,1,6,1,5,1,4
424,7,1,0,0,1,9,0,8,2,2
425,12,3,0,10,0,8,1,11,2,2
426,13,2,0,12,1,7,0,8,2,6
427,17,6,0,12,1,9,0,5,1,0
428,16,5,0,5,0,4,4,4,3,3
429,7,6,0,1,1,0,0,4,3,2
430,9,4,0,10,1,0,2,4,2,0
431,13,3,0,12,1,7,4,4,2,1
432,19,2,0,13,1,9,1,4,4,4
433,18,6,0,1,1,0,4,4,6,2
434,17,0,1,1,3,14,3,7,0,4
435,15,4,0,3,1,11,0,0,4,2
436,7,4,2,10,0,5,1,5,2,4
437,13,3,0,12,1,5,1,8,2,6
438,8,1,0,10,1,7,0,2,3,6
439,17,2,0,12,1,0,1,5,4,2
440,17,5,1,9,1,7,1,4,0,3
441,18,6,3,1,1,5,0,4,4,4
442,13,0,0,2,1,7,2,4,3,2
443,20,0,0,1,0,0,4,5,0,1
444,18,0,0,4,1,0,1,4,2,2
445,20,0,0,3,1,7,1,8,3,2
446,17,0,0,12,1,0,0,4,3,6
447,13,2,0,12,0,8,1,4,3,4
448,0,1,1,11,1,9,0,4,3,1
449,11,6,1,0,3,0,1,5,0,1
450,17,4,2,9,1,7,2,4,3,6
451,15,1,0,11,1,0,3,4,1,4
452,11,2,0,12,1,7,2,5,2,1
453,19,0,4,12,2,1,1,5,2,2
454,6,5,0,1,1,0,1,5,2,1
455,12,5,0,10,1,0,2,5,1,4
456,21,0,0,0,1,0,0,5,2,2
457,17,0,0,10,1,7,0,5,2,2
458,17,5,0,10,0,8,0,8,0,6
459,7,3,0,1,1,10,1,4,3,2
460,12,2,0,13,1,14,0,5,2,4
461,18,4,0,1,0,0,0,10,2,6
462,16,5,0,2,2,5,2,5,2,2
463,9,4,0,3,0,0,1,8,0,4
464,17,0,5,15,1,5,1,5,1,6
465,18,4,0,1,0,15,1,5,3,4
466,3,2,0,10,1,0,0,9,4,4
467,18,1,0,11,0,0,4,4,3,6
468,21,2,0,5,1,7,1,0,0,6
469,19,1,1,4,1,0,0,5,1,2
470,1,0,0,1,1,5,3,0,1,6
471,17,3,0,11,0,5,2,4,0,4
472,18,0,1,1,1,9,4,5,2,2
473,12,6,1,10,1,10,4,7,0,1
474,15,0,0,3,1,11,1,8,0,4
475,22,2,5,8,2,0,4,5,0,2
476,7,6,0,0,1,0,4,5,2,2
477,15,5,1,12,1,0,0,8,1,4
478,21,0,0,0,1,0,4,4,3,0
479,18,4,0,10,1,7,0,4,2,1
480,21,2,0,12,0,0,1,5,0,1
481,22,6,2,10,0,0,0,5,3,2
482,11,5,0,10,0,10,0,5,0,2
483,12,4,1,16,2,0,2,4,1,2
484,10,1,0,10,1,8,0,2,1,6
485,13,6,0,3,0,4,4,4,3,1
486,12,4,0,10,1,0,0,8,1,4
487,14,4,0,12,1,3,1,5,3,6
488,19,0,0,11,0,0,2,5,3,2
489,20,0,0,10,1,0,2,4,3,2
490,11,6,1,11,3,10,4,2,0,2
491,6,6,1,9,1,0,2,4,2,0
492,14,1,1,9,2,15,4,4,3,2
493,15,5,0,12,1,14,1,4,1,2
494,8,4,1,0,1,7,0,5,2,2
495,8,5,2,5,2,0,1,4,2,6
496,19,4,0,3,2,0,3,5,0,6
497,9,4,0,1,2,0,2,5,0,2
498,18,2,1,10,1,5,2,6,2,4
499,17,6,0,16,1,8,1,4,1,2
500,19,0,0,1,0,0,2,5,2,1
501,23,0,1,4,0,9,1,4,2,2
502,12,2,0,10,1,14,0,4,3,4
503,16,6,1,9,1,10,1,5,0,4
504,13,1,0,3,1,0,0,11,3,0
505,14,6,0,0,1,5,0,4,2,2
506,23,2,1,10,1,7,0,3,0,4
507,8,5,0,10,1,0,1,8,2,6
508,16,5,0,10,0,5,4,4,1,4
509,14,0,1,13,1,7,2,0,4,2
510,8,4,0,0,1,0,0,8,1,2
511,21,1,0,10,1,5,0,6,1,2
512,13,1,4,9,1,0,2,1,2,1
513,14,2,0,1,1,0,0,5,0,2
514,20,3,1,10,1,7,1,5,2,2
515,21,2,1,9,1,7,1,5,2,4
516,10,1,0,9,1,0,1,4,1,2
517,1,3,0,3,0,0,0,8,1,4
518,7,0,0,9,1,0,2,4,2,2
519,23,0,1,0,1,0,0,5,2,4
520,14,2,0,11,1,0,4,2,1,2
521,19,3,1,10,1,6,1,4,3,6
522,15,6,0,11,0,5,4,4,2,0
523,16,1,1,8,1,0,2,4,0,2
524,18,1,6,4,1,0,1,8,1,0
525,20,6,0,5,1,14,4,5,4,2
526,14,3,1,1,1,0,1,4,3,2
527,16,3,0,1,2,9,4,5,5,1
528,9,5,0,0,1,11,1,11,3,2
529,9,5,0,11,1,5,1,4,3,2
530,21,1,0,10,1,13,0,7,2,4
531,10,1,0,12,1,5,1,8,1,6
532,12,2,1,11,2,14,0,4,0,4
533,6,2,0,16,1,7,0,2,0,2
534,13,5,0,10,1,0,2,0,1,2
535,16,2,0,4,2,9,4,5,3,6
536,23,4,3,3,1,8,0,5,1,4
537,22,5,0,2,1,10,4,8,4,6
538,17,5,0,13,2,0,4,4,2,6
539,10,5,1,10,1,0,2,5,2,4
540,19,2,3,12,2,9,3,0,2,6
541,0,6,1,10,1,0,0,4,4,2
542,14,2,1,5,3,14,2,4,2,2
543,12,3,3,5,2,0,0,1,2,2
544,18,1,0,0,0,0,4,5,4,0
545,17,6,0,1,0,8,1,8,2,6
546,7,5,0,3,1,0,1,4,3,2
547,13,1,2,16,1,0,4,1,2,2
548,15,2,0,9,1,0,1,4,3,2
549,4,3,0,11,1,10,0,4,4,2
550,19,3,1,1,1,0,0,8,0,2
551,8,4,1,0,1,0,2,4,1,2
552,17,2,0,3,1,14,4,5,1,3
553,17,6,0,10,1,4,1,0,3,2
554,9,5,1,10,1,7,1,4,3,2
555,17,4,1,10,1,11,0,4,0,0
556,12,5,2,1,2,0,1,4,4,2
557,18,4,0,0,1,9,0,4,2,0
558,15,1,1,12,0,7,0,5,3,4
559,20,6,0,9,0,5,2,0,3,4
560,11,0,0,12,1,5,2,5,4,4
561,13,0,1,3,1,0,2,5,2,2
562,19,2,0,1,1,3,4,5,1,1
563,19,2,0,3,2,7,4,8,1,6
564,6,1,2,3,1,0,3,5,4,6
565,14,0,0,10,1,10,2,5,3,6
566,10,6,0,0,0,8,1,4,3,6
567,13,6,0,4,1,3,4,5,0,6
568,0,0,0,13,1,4,4,4,0,6
569,16,4,0,12,1,0,0,4,3,0
570,11,6,1,10,1,0,0,8,2,2
571,22,0,0,10,0,6,0,4,1,2
572,8,4,1,12,3,0,0,4,1,2
573,19,3,0,12,1,2,0,7,1,2
574,13,4,0,11,1,9,1,4,3,4
575,13,4,0,10,1,5,4,8,1,4
576,13,1,0,10,1,5,4,6,2,4
577,15,6,0,10,2,0,1,4,2,2
578,20,3,1,12,1,0,1,5,2,2
579,22,5,1,11,2,7,0,5,2,1
580,15,1,0,0,0,0,0,8,1,3
581,11,0,0,9,0,7,0,4,4,4
582,17,6,0,0,1,5,3,4,0,2
583,12,6,0,0,1,3,0,5,3,4
584,9,1,0,1,3,8,0,4,1,2
585,15,1,2,0,1,0,2,5,3,6
586,17,0,0,0,1,7,0,5,1,2
587,8,6,0,10,1,5,1,5,2,2
588,17,6,3,0,1,8,1,8,3,4
589,7,6,0,16,1,7,1,5,0,2
590,12,1,2,11,1,0,1,11,3,2
591,13,5,1,9,3,5,2,5,0,4
592,10,4,0,11,1,0,1,5,0,3
593,2,0,0,13,0,10,1,4,2,4
594,8,0,1,0,1,13,4,8,4,2
595,16,5,1,5,0,7,0,11,0,6
596,20,4,1,12,0,0,1,0,0,4
597,18,3,3,0,1,0,1,8,1,2
598,6,5,0,3,1,5,1,5,1,4
599,16,5,0,11,1,9,1,4,3,2
600,14,4,0,9,0,0,1,11,2,2
601,15,6,3,0,1,4,0,8,1,2
602,8,6,1,3,2,7,1,0,4,2
603,17,1,0,1,1,0,1,4,4,1
604,13,3,3,10,1,14,3,4,2,0
605,23,0,0,2,1,5,4,8,2,4
606,15,2,0,4,0,4,0,4,2,2
607,15,4,1,3,1,15,0,0,3,2
608,23,0,1,10,0,6,0,4,2,4
609,16,0,0,11,1,3,4,5,2,4
610,18,3,0,10,1,5,0,4,0,1
611,18,4,0,19,1,4,0,8,4,0
612,18,2,0,10,2,0,1,4,0,2
613,17,4,0,10,0,7,2,5,0,2
614,18,6,1,10,2,15,2,8,3,2
615,14,6,0,17,1,9,0,2,4,6
616,21,2,0,10,1,0,1,5,0,4
617,20,2,1,0,1,11,0,5,2,6
618,12,4,0,9,0,4,1,8,4,4
619,17,5,1,4,1,14,1,4,2,6
620,19,0,3,18,1,5,0,4,2,4
621,15,1,0,10,0,4,2,4,0,0
622,10,2,0,12,1,5,1,5,2,4
623,19,1,0,4,1,3,0,4,0,4
624,8,4,0,10,1,7,2,4,1,4
625,20,4,0,10,1,7,1,4,1,2
626,18,4,0,0,1,15,0,0,0,2
627,21,1,0,9,2,9,4,11,2,2
628,16,4,0,10,1,0,4,8,1,2
629,20,2,4,10,2,10,0,5,2,2
630,17,4,1,3,3,7,1,4,0,2
